"filename", "language", "Python", "Markdown", "JSON", "HTML", "JavaScript", "PostCSS", "pip requirements", "comment", "blank", "total"
"/Users/joecorella/Desktop/ScraperV4/.claude/agents/ai-engineer.md", "Markdown", 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/joecorella/Desktop/ScraperV4/.claude/agents/api-documenter.md", "Markdown", 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/joecorella/Desktop/ScraperV4/.claude/agents/architect-review.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 12, 43
"/Users/joecorella/Desktop/ScraperV4/.claude/agents/backend-architect.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"/Users/joecorella/Desktop/ScraperV4/.claude/agents/code-reviewer.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/joecorella/Desktop/ScraperV4/.claude/agents/context-manager.md", "Markdown", 0, 44, 0, 0, 0, 0, 0, 0, 20, 64
"/Users/joecorella/Desktop/ScraperV4/.claude/agents/data-engineer.md", "Markdown", 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/joecorella/Desktop/ScraperV4/.claude/agents/data-scientist.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/joecorella/Desktop/ScraperV4/.claude/agents/database-admin.md", "Markdown", 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/joecorella/Desktop/ScraperV4/.claude/agents/database-optimizer.md", "Markdown", 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/joecorella/Desktop/ScraperV4/.claude/agents/debugger.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"/Users/joecorella/Desktop/ScraperV4/.claude/agents/deployment-engineer.md", "Markdown", 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/joecorella/Desktop/ScraperV4/.claude/agents/devops-troubleshooter.md", "Markdown", 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/joecorella/Desktop/ScraperV4/.claude/agents/frontend-developer.md", "Markdown", 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
"/Users/joecorella/Desktop/ScraperV4/.claude/agents/javascript-pro.md", "Markdown", 0, 26, 0, 0, 0, 0, 0, 0, 9, 35
